Name	K17+ TUMOR
Color	-65536
Coordinates	194
869.0190	56.8795
879.5010	62.1204
886.8384	68.9337
891.5553	56.3554
881.5974	45.8734
890.5071	27.5299
882.1215	20.7166
947.1098	19.1443
959.1641	38.5360
973.3148	47.4457
982.7485	32.7709
999.5197	30.1504
971.2184	13.3792
928.7663	66.3132
1293.5393	313.1639
1316.5997	324.6941
1328.1298	345.1339
1305.0695	349.8508
1260.5211	339.8930
1229.0751	338.3207
1199.2015	331.5074
1185.0508	345.1339
1186.0990	323.1218
1210.7316	317.3567
1222.7859	308.9711
1245.3222	316.8326
1272.5753	323.6459
1252.1355	299.0132
1240.0812	282.2421
1227.5028	282.7662
1205.4907	293.7722
1185.5749	271.2360
1189.7677	259.7058
1166.7073	252.8925
1149.9361	253.9407
1133.1650	246.0792
1123.2071	261.2781
1105.3877	268.6155
1120.0625	282.7662
1106.4359	295.8686
1089.1407	295.8686
1108.0082	314.7362
1095.9539	321.5495
1103.2913	333.0797
1124.2553	330.9833
1156.7494	344.0858
1138.9301	348.8026
1132.1168	367.1461
1113.2492	358.7605
1093.8575	343.0376
1068.1767	334.1279
1122.6830	389.1583
1124.2553	403.3089
1110.1046	413.7909
1019.4355	405.9294
991.6582	393.8752
1006.8571	416.4114
986.9413	435.2790
1537.7695	408.5499
1541.9623	397.5439
1545.6310	385.4896
1543.0105	369.2425
1411.4616	234.5490
1414.6062	246.0792
921.9530	29.1022
929.2904	47.9698
922.4771	6.5659
943.4411	60.0241
923.4268	676.5308
949.1076	673.9103
973.7403	675.4826
1009.9031	672.8621
1036.6322	659.7596
1068.0781	651.3740
1083.2770	640.3679
1101.6204	630.9342
1110.5301	608.3979
1112.6265	596.8677
1112.6265	587.4339
1097.4276	578.5242
1116.2952	576.9520
1091.1385	561.2290
1072.2709	544.4578
1049.7346	529.7830
1043.9695	517.7288
1023.0056	514.0601
997.3247	505.6745
989.4632	510.3914
993.6560	783.9711
1032.9635	780.3024
1072.7950	765.1035
1051.3069	759.3384
1015.6682	757.2420
1067.0299	732.6094
1101.0963	718.9828
1089.0421	701.6875
1130.9700	698.5429
1143.5484	681.7718
1155.0785	700.6393
1188.6209	687.5369
1200.6752	710.5972
1198.0547	691.2056
1225.8319	715.3141
1217.4463	729.4648
1217.9704	740.4709
1187.5727	751.4769
1165.5605	763.0071
1137.2592	770.3445
1147.7412	785.5434
1125.2049	790.7844
1108.9578	784.4952
1100.0481	808.6037
1068.0781	813.8447
1037.1563	809.6519
1009.9031	815.4170
1031.3944	1055.4311
1012.0028	1076.3951
1027.2016	1091.0699
1019.8642	1122.5158
987.3701	1117.7989
974.2676	1100.5036
977.9363	1136.1424
946.4904	1123.5640
921.8577	1115.1784
908.2311	1097.3591
893.5564	1084.2566
908.2311	1053.8588
978.4604	1040.2323
940.2012	1038.6600
896.7010	1031.8467
858.4417	1042.3286
818.0861	1051.2383
801.8390	1066.9613
787.1643	1032.8949
731.6098	1041.8045
702.7843	1070.6300
683.9167	1053.8588
666.0974	1082.6843
680.2480	1034.4672
673.4348	1108.8892
687.5854	1118.3230
668.1938	1135.6183
633.6032	1127.7568
631.5068	1147.6726
632.5550	1177.0221
664.5251	1163.3955
645.1334	1160.2509
611.5911	1171.7811
598.4886	1193.7933
552.3679	1190.1246
548.1751	1175.4498
526.1629	1162.3473
510.4399	1142.9557
483.1868	1117.2748
453.3131	1107.8410
438.6384	1102.0759
421.3431	1092.1181
411.3852	1068.0095
399.3309	1080.5879
625.7417	1007.2140
587.4825	996.7320
474.2771	997.2561
435.4938	1018.2201
759.3870	1030.7985
401.7473	549.6468
435.3007	572.2758
434.5204	549.6468
429.0582	588.6624
514.1122	689.3226
463.3919	796.2254
374.4363	769.6948
350.2467	747.8460
341.6632	714.2926
340.8829	696.3454
342.4435	657.3298
344.0042	635.4811
365.0726	603.4883
392.3835	578.5183
372.8757	566.0333
503.9682	634.7008
475.8769	800.1269
897.2455	676.0573
894.9045	657.3298
869.1542	652.6480
1082.9597	746.2854
1100.1266	735.3610
1168.7941	711.9517
1144.6044	723.6564
1202.3475	750.9673
1099.3463	757.9901
233.7989	483.8751
22.3344	503.3829
7.5084	466.7083
173.7149	579.8535
