Name	CD8
Color	-65536
Coordinates	54
1124.9154	1163.5270
1342.6225	978.5930
1463.5708	1102.6626
1270.8337	1197.0804
1689.0810	1143.2389
1465.9118	940.3577
1264.5912	836.5762
1290.3415	670.3697
1557.9886	650.8619
1871.6741	713.2869
1108.5288	63.2869
1252.1062	98.4010
1244.3031	69.5294
1195.1435	87.4766
1096.8241	136.6362
911.8902	254.4634
923.5948	249.7815
1028.1567	229.4934
1403.4868	160.8259
1460.4496	89.8175
1424.5552	66.4082
1630.5576	429.2533
1545.5036	558.7851
1531.4580	560.3457
1838.1206	614.9676
1819.3932	480.7539
1687.5204	24.2713
1522.8745	179.5534
1515.8517	100.7419
730.8578	157.7047
641.9022	126.4922
543.5828	34.4154
491.3019	41.4382
411.7101	199.8415
423.4148	348.8811
553.7269	390.2377
60.5697	255.2437
98.8049	263.0468
48.8650	453.4430
126.8962	213.8871
510.8097	202.1825
344.6033	192.0384
348.5048	215.4478
139.3812	246.6603
166.6921	732.7947
60.5697	777.2725
45.7437	895.8799
169.0330	922.4105
217.4124	1075.3517
265.7917	1046.4802
190.8818	1171.3301
76.1759	970.7899
177.6165	823.3109
1366.8121	554.1032
