Name	K17-
Color	-65536
Coordinates	118
509.2871	965.1767
613.8489	875.4408
627.8945	836.4252
585.7577	839.5465
510.8477	837.9859
574.8333	798.1899
560.0074	766.9775
460.9077	664.7566
478.8549	657.7338
460.1274	642.1275
478.8549	631.2032
552.2042	660.8550
561.5680	678.8022
550.6436	694.4084
578.7349	751.3712
601.3639	738.1059
590.4395	718.5981
606.8261	710.7950
595.1214	674.1203
587.3183	650.7110
614.6292	668.6581
636.4780	700.6509
633.3567	731.0831
624.7733	745.9090
655.2054	757.6137
651.3039	791.1671
716.8501	792.7278
734.0170	811.4552
755.8657	828.6221
776.9341	810.6749
762.8885	793.5081
740.2595	774.7806
716.8501	763.8562
979.8153	926.1611
993.8609	941.7674
982.1562	965.9570
1005.5656	967.5177
1004.0050	978.4420
1043.8009	1179.7626
981.3759	1187.5657
861.9882	1051.0111
612.2883	1055.6929
659.8873	924.6005
1296.2757	22.0013
1315.0031	43.8501
1353.2384	46.1910
1333.7306	72.7216
1329.8291	106.2750
1316.5638	89.1082
1292.3741	78.1838
1287.6922	102.3735
1311.1016	110.1766
1393.0344	168.7000
1393.0344	203.0337
1408.6406	243.6100
1403.1784	284.1862
1423.4665	318.5199
1414.8831	345.0506
1414.8831	370.8009
1422.6862	401.2330
1451.5578	409.0361
1462.4821	430.8849
1432.8303	431.6652
1446.8759	462.0974
1467.9443	455.0746
1459.3609	488.6280
1454.6790	505.7948
1450.7774	526.8633
1477.3081	526.0830
1279.8891	188.9881
1275.9875	213.9581
1261.1616	277.1634
1286.9119	262.3375
1290.0332	307.5956
1311.1016	336.4671
1360.2612	360.6568
1332.1700	387.9677
1363.3825	383.2858
1368.8447	407.4755
1386.7919	425.4227
1410.9815	432.4455
1384.4509	447.2714
1432.0500	462.0974
1434.3909	483.9461
1407.0800	494.0902
1388.3525	512.0373
1402.3981	521.4011
1432.0500	512.0373
1430.4893	537.7876
1414.8831	554.1742
1403.9587	575.2426
1441.4137	568.2198
1439.0728	598.6520
1529.7910	769.4142
1428.3504	730.3986
674.5852	355.6596
663.6608	344.7353
645.7136	332.2503
641.0317	305.7197
650.3955	277.6284
707.3583	279.1891
725.3055	262.8025
754.1770	234.7113
666.7820	209.7413
637.1302	210.5216
663.6608	176.9682
717.5023	36.5120
724.5251	9.9814
694.0930	6.8601
700.3355	323.6669
695.6536	361.9021
680.0474	155.1194
690.9717	173.0666
715.1614	67.7245
737.7905	77.8685
754.9573	54.4592
654.2971	238.6128
640.2514	249.5372
