Name	K17+ TUMOR
Color	-65536
Coordinates	167
441.3999	1166.4973
454.6652	1191.4672
510.0674	1191.4672
531.1358	1170.3988
563.9089	1190.6869
592.7805	1181.3232
567.0302	1162.5957
597.4623	1140.7470
602.1442	1122.0195
606.8261	1086.9054
616.9701	1023.7001
635.6976	994.0483
616.1898	957.3736
498.3627	1070.5189
512.4083	1032.2836
521.7721	1000.2908
478.0746	1158.6941
503.0446	1160.2548
506.9461	1139.1863
478.0746	1119.6785
449.9834	1135.2848
484.3171	1186.0051
510.0674	1122.7998
494.4611	1096.2692
777.7144	1002.6317
753.5248	994.8286
726.9942	986.2452
685.6376	958.1539
506.1658	731.0831
542.8405	734.9847
538.1586	709.2344
492.9005	703.7722
457.0062	696.7494
520.9918	694.4084
527.2343	678.8022
529.5752	658.5141
505.3855	645.2488
531.9161	633.5441
659.8873	730.3028
669.2511	802.0915
672.3723	883.2440
959.5272	1161.0351
945.4815	1136.0651
921.2919	1115.7770
905.6856	1107.1935
1043.8009	1124.3604
1044.5812	1079.8826
1035.9978	1042.4276
1018.0506	1014.3364
1097.6424	1051.0111
1081.2559	1022.9198
1060.1874	1015.1167
1089.8393	1001.0711
1033.6568	994.8286
1068.7709	968.2980
1044.5812	981.5633
1040.6796	932.4036
940.7997	901.1911
925.9737	878.5621
900.2234	863.7362
890.8597	886.3652
879.1550	868.4180
852.6244	866.8574
811.2679	862.9558
819.0710	837.9859
788.6388	852.8118
776.9341	862.9558
692.6604	784.1443
680.9557	777.1215
564.6892	713.9162
526.4539	616.3772
496.0218	678.0219
815.9497	1038.5261
957.1862	915.2368
730.8957	862.9558
648.1826	870.7590
524.8933	902.7518
512.4083	865.2968
557.6664	811.4552
533.4768	768.5381
535.0374	1019.0183
545.1814	912.1155
522.5524	935.5249
542.0602	943.3280
622.4323	923.8202
552.2042	850.4709
579.5152	875.4408
539.7192	880.1227
666.1298	859.8346
679.3951	984.6845
702.8045	974.5405
897.8825	1083.0039
651.9561	9.2011
620.7436	13.8829
647.2742	43.5348
670.6836	37.2923
662.1002	58.3607
634.0089	61.4820
619.9633	41.9742
653.5167	81.7701
670.6836	74.7473
689.4111	81.7701
690.1914	106.7401
731.5480	109.0810
658.9789	109.8613
642.5924	98.9370
631.6680	124.6873
678.4867	123.9070
706.5780	120.7857
716.7220	128.5888
741.6920	141.8541
714.3811	151.2179
694.8733	144.9754
662.8805	146.5360
712.0402	176.1879
712.8205	194.1350
749.4951	166.0438
745.5936	275.2875
765.1014	252.6585
747.1542	326.7881
723.7448	314.3031
680.8277	274.5072
687.8505	237.0522
710.4795	248.7569
709.6992	223.0066
731.5480	195.6957
748.7148	183.9910
634.7893	177.7485
753.3967	98.9370
625.4255	88.0126
685.5095	301.0378
695.6536	253.4388
668.3427	231.5900
723.7448	368.9250
714.3811	347.0762
767.4423	276.8481
769.7832	304.1591
725.3055	234.7113
1280.1074	126.2479
1293.3727	153.5588
1369.8433	21.6861
1340.9717	407.1602
1337.0702	457.1002
1329.2670	436.8121
1301.1758	424.3271
1323.0245	414.9634
1309.7592	393.8949
1278.5467	419.6452
1260.5996	404.8193
1284.7892	383.7509
1276.9861	364.2431
1255.1374	391.5540
1418.2226	613.9430
1447.0942	623.3067
1509.5191	752.8385
1490.7916	781.7101
1504.0569	795.7557
1482.2082	762.9826
1493.1326	739.5732
1439.2910	767.6644
1423.6848	687.2923
1414.3211	668.5648
1417.4423	642.8145
1449.4351	655.2995
1519.6632	713.0426
1380.3424	487.1943
1368.8122	460.9893
