Name	CD16
Color	-65536
Coordinates	179
57.3033	148.4211
150.1604	151.5424
222.7294	144.5195
177.4713	74.2915
128.3117	46.9805
260.1844	23.5712
317.1472	19.6696
348.3597	20.4499
492.7174	25.1318
555.9227	109.4055
582.4533	93.7993
559.8243	12.6468
668.2877	58.6852
787.6754	122.6708
908.6238	61.8065
1009.2840	106.2843
1126.3309	133.5952
1160.6646	302.1426
1184.8543	272.4907
1220.7486	260.0057
1241.0367	254.5436
1109.9443	291.9985
1095.8987	303.7032
1081.8531	284.1954
1070.9287	370.8101
1011.6250	302.1426
987.4353	303.7032
970.2684	268.5892
849.3201	245.1798
823.5698	199.1414
906.2828	170.2698
718.2276	197.5808
670.6286	326.3323
574.6502	262.3467
528.6118	268.5892
257.8435	247.5207
178.2516	295.1198
168.8879	448.0610
243.0176	576.8125
231.3129	551.8425
356.9431	696.9805
375.6706	713.3671
272.6694	694.6396
267.9875	717.2686
98.6598	288.0970
19.0680	221.7704
79.9323	224.8917
50.2805	204.6036
174.3501	230.3539
303.8819	247.5207
356.1628	210.8461
446.6790	153.8833
770.5085	313.0670
762.7054	325.5520
779.8723	462.1066
832.9335	479.2734
857.1232	472.2506
828.2516	421.5303
898.4797	444.1594
930.4725	427.7728
957.0031	550.2818
958.5638	529.2134
1058.4437	630.6540
1047.5193	645.4799
1035.8147	707.1246
894.5782	366.9085
931.4926	210.4898
1108.6235	343.1429
1707.9032	309.5894
1592.4170	319.7335
1676.6907	441.4622
1593.9776	431.3181
1709.4638	403.2269
1723.5094	422.7347
1879.5718	418.0528
1883.4734	453.9472
1910.0040	139.4814
1906.8828	113.7311
1906.8828	95.0036
1842.1169	80.9580
1815.5863	89.5414
1794.5178	68.4730
1394.9980	163.6711
1416.0665	152.7467
1450.4002	151.1861
1462.8852	135.5798
1247.5190	4.4874
1271.7087	236.2401
1651.7207	498.4250
1671.2285	505.4478
1697.7591	514.8115
1681.3726	538.2209
1860.0640	528.0768
1851.4806	560.8499
1855.3822	578.0168
1837.4350	578.0168
1880.3522	647.4646
1754.7219	595.9640
1666.5466	644.3433
1695.4182	683.3589
1792.9572	649.8055
1883.4734	703.6471
1660.3041	595.9640
1705.5622	618.5930
1043.8576	759.8295
1180.4122	850.3457
1072.7291	921.3541
985.3342	978.3169
1022.7891	1017.3325
1007.9632	1030.5978
1065.7063	1036.0600
1093.7975	1064.1513
1267.8071	1001.7263
1174.9500	1039.9616
1231.1325	1026.6963
1516.7267	1086.0000
1544.0376	1097.7047
1842.8972	1107.0684
1815.5863	1129.6975
1174.1697	1169.4934
1142.1769	1157.0084
776.2105	1001.7263
842.5370	1014.9916
880.7723	876.0960
922.9092	858.9292
953.3414	913.5510
1139.8360	977.5366
1116.4266	939.3013
1171.0484	965.0516
1036.8348	791.0420
1302.1409	890.1417
1316.9668	926.0360
1428.5514	906.5282
1478.4914	839.4214
1553.4014	797.2845
1636.8948	848.7851
1640.0160	812.1104
1637.6751	777.7767
1716.4866	784.0192
1703.2213	735.6399
1694.6379	764.5114
1866.3065	861.2701
1892.0568	831.6182
1696.9788	1022.7947
1735.9944	1041.5222
1874.1097	1080.5378
1493.3173	1021.2341
1460.5442	982.9988
1594.7579	860.4898
1739.8960	823.8151
1689.9560	818.3529
1781.2525	1045.4238
1704.0016	944.7635
1728.9716	915.8920
1837.4350	857.3685
801.9608	881.5582
77.0509	789.4814
38.8156	1025.1357
56.7628	1011.0900
13.0653	1110.1897
24.7700	1130.4778
97.3390	1081.3181
39.5959	1164.0312
28.6715	1190.5618
244.0377	1052.4466
209.7039	954.1273
230.7724	931.4982
324.4098	948.6651
363.4254	968.9532
357.1829	918.2329
322.0689	862.8307
418.0473	835.5198
390.7363	835.5198
531.1925	956.4682
487.4950	911.9904
545.2381	890.1417
571.7687	1022.7947
556.1625	1051.6663
659.1637	1122.6747
