Name	K17+ TUMOR
Color	-65536
Coordinates	146
179.0320	345.8401
222.7294	355.9841
194.6382	380.9541
235.2144	398.1210
260.1844	363.0069
297.6394	351.3023
317.1472	336.4763
340.5566	295.1198
397.5193	316.1882
362.4053	357.5448
336.6550	348.1810
433.4137	365.3479
461.5049	388.7572
498.9599	392.6588
475.5506	417.6288
520.8087	344.2794
487.2552	355.9841
544.9983	351.3023
574.6502	355.9841
619.9083	420.7500
648.7798	419.9697
594.9383	446.5003
691.6970	448.0610
672.9695	415.2878
710.4245	462.1066
811.0848	526.0922
780.6526	546.3803
736.9551	537.0165
689.3561	555.7440
704.9623	622.8509
683.1136	594.7596
671.4089	623.6312
260.9647	501.9025
307.7835	504.2434
260.1844	471.4703
299.2000	477.7128
359.2841	547.9409
298.4197	579.1534
321.8291	608.0249
334.3141	591.6384
374.8903	633.7752
345.2384	633.7752
402.9815	659.5255
412.3453	677.4727
423.2696	696.9805
477.1112	641.5784
468.5278	727.4127
522.3693	718.0489
527.0512	682.9349
634.7342	666.5483
889.8963	528.4331
912.5253	489.4175
924.2300	531.5544
902.3813	569.7896
826.6910	649.3815
1096.6790	462.1066
1124.7702	462.8869
1102.1412	503.4631
1081.0728	497.2206
1109.1640	533.8953
1116.9671	548.7212
1104.4821	571.3503
1136.4749	588.5171
1184.0740	641.5784
1157.5433	644.6996
1162.2252	597.1006
1145.8387	518.2890
1104.4821	624.4115
494.2781	784.3755
532.5133	800.7620
728.3717	808.5652
779.8723	931.0742
1271.4689	793.7392
1216.8471	740.6780
1209.8243	717.2686
1200.4605	694.6396
1318.2876	703.2230
1342.4773	696.2002
1335.4545	731.3143
1168.4677	623.6312
608.9839	711.0261
496.6190	730.5339
616.0067	687.6168
593.3777	679.8137
1369.0079	860.0658
1390.8567	837.4367
1310.4845	828.8533
1262.8855	737.5568
1349.5001	769.5495
1354.9623	730.5339
1384.6142	778.1330
1405.6826	798.4211
1405.6826	775.0117
1433.7738	775.7920
1450.1604	789.0573
1464.2060	778.1330
1458.7438	814.0273
1362.7654	796.0802
1440.0163	723.5111
1476.6910	737.5568
1464.2060	693.8593
1505.5625	703.2230
1532.8735	691.5183
1560.9647	679.8137
1591.3969	687.6168
1602.3212	646.2602
1598.4197	604.1234
1543.7978	623.6312
1545.3585	586.1762
1579.6922	571.3503
1529.7522	529.2134
1495.4185	493.3191
1496.1988	458.9853
1471.2288	471.4703
1484.4941	421.5303
1458.7438	413.7272
1436.1148	433.2350
1422.8495	391.8785
1399.4401	380.9541
1369.7882	348.1810
1464.2060	337.2566
1432.9935	306.8245
1407.2432	299.8017
1347.1592	336.4763
1315.1664	331.0141
1299.5601	363.7872
1318.2876	370.0297
1312.8255	398.9013
1338.5758	419.9697
1257.4233	392.6588
1226.9911	382.5147
838.3957	608.8053
903.9419	600.2218
879.7522	556.5243
1800.5205	725.0718
1823.1496	774.2314
1749.8002	696.9805
1795.0583	682.1546
1787.2552	544.8197
1762.2852	498.7812
1283.9539	761.7464
1623.3897	740.6780
1567.9875	711.8065
656.9773	16.1406
1764.8660	520.2737
824.5899	688.8211
