Name	K17+ TUMOR
Color	-65536
Coordinates	38
1431.4136	959.3540
1428.2690	992.3722
1378.4796	949.9202
1341.2685	933.1490
1314.0154	921.6189
1308.7744	885.9801
1294.0996	867.6367
1528.8960	966.6914
1591.7879	1024.8664
1559.8179	1028.0110
1619.0411	1018.5772
1696.6077	998.6614
1693.9872	1020.6736
1721.2404	1025.3905
1747.4453	1013.3362
1741.6802	955.6853
1772.0780	969.3119
1751.1140	931.0526
1677.7401	903.7995
1660.9690	920.5707
1642.1014	891.7452
1681.9329	862.9198
1623.7579	823.6123
1642.1014	813.6545
1660.9690	849.8173
1715.9994	922.6671
1599.6494	798.9797
1401.0158	918.9984
1125.3397	877.0704
1123.2433	845.6245
1125.8638	816.7991
1133.2012	785.3531
1584.9746	764.3891
1555.1010	752.3349
981.8399	959.1982
952.7955	970.8160
748.3225	909.2418
744.8371	622.2825
