Name	K17-
Color	-65536
Coordinates	99
521.8817	413.3070
490.9599	426.4094
466.8513	404.9214
466.8513	434.2709
337.3988	425.3612
358.8869	432.6986
381.9473	429.0299
299.1396	418.0238
285.5130	441.0842
277.1275	424.3130
232.5790	414.3552
341.5916	259.7459
307.5252	260.2700
280.7961	248.2157
861.3580	491.6602
947.3103	366.9246
958.3163	356.9667
1092.4857	441.3467
1123.9316	459.1661
1019.6359	411.4731
976.1357	402.5634
967.7501	382.6476
926.3463	409.9008
880.7497	382.1235
879.1774	363.2559
922.6776	382.6476
896.4726	496.9012
893.3281	443.9672
917.4366	459.1661
1111.2468	725.5253
1103.3853	762.7364
1131.1626	747.0134
1141.6446	753.8267
1154.2229	791.5618
1180.9520	803.6161
1210.8256	816.1945
1193.5304	847.1163
1180.9520	845.0199
1153.6988	873.8454
1235.4583	808.8571
1196.1509	783.1762
1222.8799	770.0737
1238.0788	754.3508
1221.8317	733.9109
1203.4882	718.7120
1172.5664	708.7542
1140.0723	720.2843
1140.0723	702.9891
1113.3432	671.5431
1084.5178	646.3864
1103.9094	598.1692
1271.0970	799.9474
1250.1331	784.7485
1267.9524	776.3629
1282.6272	756.9713
1297.3020	768.5014
1307.2599	803.6161
1310.4045	835.0620
1327.1756	836.1102
1481.7849	973.9483
1497.5078	971.8519
1511.1344	1003.8219
1651.0689	1028.9787
1661.5508	1003.8219
1776.3285	995.4363
1698.2378	885.8996
1634.8218	859.6947
1527.3815	902.1467
1541.0080	878.0382
1546.2490	845.5440
1569.8335	849.2127
1554.1105	720.8084
1473.9234	696.1758
1445.0979	685.1697
1424.1340	686.7420
1406.8387	689.8866
1392.1639	692.5071
1404.2182	709.2783
1380.6337	764.8328
1376.9650	819.3391
1501.1765	753.3026
1462.9173	741.2483
1458.7245	719.2361
1487.0258	1003.2978
1614.5243	729.1118
1744.8364	914.0457
1714.4043	899.2198
1461.5831	995.9785
1527.1293	1013.1454
1268.8460	823.5295
1341.4151	865.6664
1086.2530	727.5511
1083.9121	763.4455
1001.1990	930.4323
1001.1990	875.8104
1526.2199	738.2925
1503.6837	708.4189
1485.3402	702.1297
1411.2707	767.8396
