Name	CD16
Color	-65536
Coordinates	98
742.2937	57.9607
1026.3565	25.2810
1032.2221	126.6721
994.5146	249.0118
1087.5263	223.8735
1162.9412	259.9051
1152.8859	286.7192
803.4636	487.8256
790.0565	273.3121
452.7843	16.9015
574.2861	8.5221
532.3889	522.1813
478.7606	460.1735
394.1283	428.3316
281.8439	335.3199
245.8124	363.8100
144.4212	409.8969
352.1521	389.2271
366.5261	405.2345
21.8771	1078.1984
360.5502	799.0517
351.8311	654.4158
476.4641	814.9513
96.4103	687.7539
598.6583	1116.2837
581.2199	996.7796
723.2913	953.1837
987.9441	1112.1806
1024.8724	1116.7966
548.9077	790.5966
596.6067	846.5020
746.3715	862.4016
702.7756	905.9976
439.4050	633.7026
578.3990	568.0523
681.4905	512.1470
700.4675	510.6083
1288.7052	1036.1905
1506.5826	1057.6602
1551.1123	882.7221
1652.0992	827.0600
1650.5089	912.9387
1706.9662	928.8421
1738.7731	915.3242
1716.5082	850.1200
1750.7007	854.0959
1811.1338	885.9028
1895.4222	912.9387
1908.1449	898.6256
1590.0757	1036.9857
1601.2082	1174.5506
1671.9786	771.3979
1713.3275	762.6510
1735.5924	756.2896
1744.3393	773.7834
1761.0379	753.9041
1827.8325	710.9647
1831.0132	753.9041
1812.7242	789.6869
1800.7966	807.1807
1819.0856	805.5903
1842.1456	790.4820
1858.8442	797.6386
1845.3263	821.4938
1854.0732	842.1683
1887.4704	850.1200
1886.6753	825.4697
1912.1208	815.1324
1904.1691	666.4351
1737.9779	945.5408
1508.1729	624.2909
398.3010	151.9658
354.5728	228.5942
613.6117	1146.0394
1052.6076	1113.1767
923.0170	1068.5330
681.8172	896.7790
1110.8924	891.1985
1125.7736	889.9584
1134.4543	871.3569
1193.3592	862.0561
919.2967	1144.7993
1094.1510	673.5607
1174.7576	721.9246
1474.8622	588.6137
1443.2396	550.1706
1429.5985	519.7881
953.3995	676.0409
1066.8688	660.5396
1054.4678	645.0383
1050.7475	617.7561
1129.4939	640.6980
830.6294	426.7804
843.6505	639.4579
741.3421	549.5505
763.6639	582.4132
816.9883	590.4739
818.8485	503.6667
