Name	K17-
Color	-65536
Coordinates	183
951.7225	129.7536
1004.7837	141.4583
1049.2615	149.2614
1057.0646	190.6180
1033.6553	211.6864
972.7909	281.9145
944.6997	267.8689
928.3131	304.5435
789.4176	324.0513
824.5316	327.9529
860.4260	334.9757
904.1235	341.2182
930.6541	336.5363
947.8209	357.6048
878.3732	366.1882
896.3203	457.4847
1001.6625	416.9085
1014.9278	486.3563
997.7609	526.1522
954.8437	535.5159
916.6084	535.5159
1014.1475	568.2890
1036.7765	561.2662
1065.6481	537.8569
1045.3599	523.8112
1053.9434	501.9625
1062.5268	471.5303
1104.6637	453.5832
1136.6565	476.2122
1126.5124	427.0525
1116.3683	383.3551
1083.5952	360.7260
1268.5292	560.4859
1295.0598	562.0465
1451.9026	546.4403
1420.6901	544.0994
1437.0766	525.3719
1399.6216	500.4019
1422.2507	428.6132
1346.5604	312.3467
1309.1054	317.8088
1718.7693	295.9601
1693.7993	287.3767
1842.0586	259.2854
1784.3155	229.6336
1768.7093	197.6408
1699.2615	208.5651
988.3972	236.6564
912.7069	156.2842
883.0550	154.7236
27.8330	293.6192
14.5676	267.8689
51.2423	249.1414
118.3492	139.1174
176.0923	176.5724
124.5917	88.3971
457.0046	168.7692
528.0130	198.4211
561.5664	193.7392
591.9986	203.8833
582.6349	315.4679
595.9002	296.7404
627.1127	313.9073
733.2351	324.8317
752.7429	309.2254
712.1667	313.1270
687.9770	353.7032
696.5604	372.4307
714.5076	361.5063
723.0910	376.3323
647.4008	332.6348
623.2111	220.2698
589.6577	226.5123
561.5664	225.7320
551.4224	221.0501
516.3083	231.9745
432.8149	64.2074
689.5376	458.2650
588.0971	86.0561
588.0971	64.2074
611.5064	57.9649
758.2051	395.0597
851.0622	474.6516
1714.8677	652.5627
1727.3527	642.4187
1737.4968	603.4031
1756.2243	630.7140
1778.0730	626.0321
1774.1715	672.8509
1742.1787	666.6084
1845.9602	763.3671
1837.3767	787.5567
1387.1367	1026.3322
1337.1967	979.5135
1254.4836	1005.2638
1212.3467	1051.3022
1281.7945	1001.3623
1353.5832	958.4451
1540.0778	1022.4307
1573.6312	1004.4835
1523.6913	920.9901
1401.1823	711.8665
1369.1895	679.8737
1536.1763	598.7212
1524.4716	579.9937
1519.0094	512.1066
1341.8785	693.1390
1314.5676	656.4643
1436.2963	771.9505
1455.8041	807.0645
1462.0466	824.2314
1342.6589	426.2722
1732.8149	722.7908
1660.2459	714.9877
1615.7681	755.5639
1630.5940	807.0645
894.7597	675.1918
898.6613	693.9193
877.5928	720.4499
844.0394	686.8965
1115.5880	750.8821
1151.4824	564.3875
515.5280	982.6348
424.2315	873.3911
426.5724	830.4739
471.8305	810.9661
509.2855	832.8148
461.6865	762.5867
489.7777	728.2530
513.1871	682.2146
452.3227	653.3431
343.8594	756.3443
594.3395	628.3731
547.5208	651.0021
840.9182	828.1330
931.4344	956.8845
377.4128	801.6024
419.5496	783.6552
57.3569	1157.3830
40.1900	1180.7924
143.9715	1124.6099
165.8203	1109.7840
179.0856	1130.8524
175.1840	1179.2317
158.0172	1190.9364
83.8875	1151.1405
127.5850	990.3962
696.4325	1019.2678
657.4169	1004.4418
662.8791	1034.0937
784.6078	1007.5631
771.3425	987.2750
831.4265	941.2365
801.7747	927.1909
709.6978	879.5919
730.7663	874.9100
721.4025	849.1597
786.9487	774.2497
848.1677	871.8693
883.2818	869.5284
799.7884	1154.3423
797.4475	1137.1755
1138.4439	1138.7361
1272.6575	1068.5080
1528.5999	762.6256
1596.4871	531.6533
1600.3886	594.0782
1623.7980	633.0938
1097.0873	732.9738
975.3586	666.6472
958.1918	644.0182
717.8556	665.8669
749.8484	667.4276
664.4116	227.1419
675.3360	246.6497
640.2219	210.7553
708.8894	249.7709
707.3288	219.3387
748.6853	116.3375
648.0250	404.2727
731.5184	437.0458
1087.3408	399.5908
1103.7273	185.7853
