Name	K17+ TUMOR
Color	-65536
Coordinates	114
65.0790	8.6469
209.4368	153.0046
103.3143	109.3072
36.2075	134.2772
25.2831	181.0959
321.8017	326.2339
354.5748	284.0971
884.4067	306.7261
920.3011	276.2940
625.3431	284.8774
740.8293	141.3000
530.1450	36.7381
874.2627	497.1223
783.7465	405.0455
809.4968	288.7790
775.1630	141.3000
1017.8401	196.7021
109.5763	224.7543
817.3194	772.5334
849.3122	770.9728
1006.9352	662.5094
777.5235	525.1745
830.5847	396.4230
847.7516	300.4446
94.7504	728.0557
125.1826	1114.3102
179.0241	1169.7123
545.7708	1019.8924
565.2786	1012.8696
534.0661	1002.7255
542.6495	990.2405
423.2618	913.7699
294.5103	743.6619
600.3926	999.6043
686.2270	1070.6127
806.3950	880.9968
901.5931	825.5947
438.0877	934.0581
448.2318	945.7627
523.9220	912.2093
502.8536	894.2621
482.5655	864.6103
1397.8716	1165.0304
1424.4022	1147.8636
1381.4851	1144.7423
1422.8416	1113.5298
1446.2510	1113.5298
1462.6375	1080.7567
1372.1213	1098.7039
1424.4022	1057.3474
1437.6675	1081.5370
1463.4178	1060.4686
1430.6447	987.8996
1451.7131	972.2933
1450.9328	945.7627
1427.5235	1012.8696
1346.3710	1066.7111
1348.7119	1037.8396
1316.7192	1044.8624
1402.5535	956.6871
1539.1081	992.5815
1551.5931	962.9296
1911.3170	889.5803
1906.6351	934.8384
1321.4010	616.4710
1340.9088	640.6607
1244.1501	586.8192
1234.7864	615.6907
1381.4851	557.1673
1370.5607	606.3270
1342.4695	503.3258
1336.2270	522.0533
1008.4959	699.1841
1783.5352	374.7716
1775.7321	347.4607
1843.6192	366.1882
1843.6192	337.3166
1838.1571	294.3995
1685.9962	235.8761
1742.9590	211.6864
1744.5196	139.1174
1906.0442	79.8137
1879.5136	82.9349
1893.5592	58.7452
1864.6877	1.0021
1477.6529	363.0669
1703.1631	264.7476
1715.6480	233.5351
1717.9890	150.0417
1796.8005	153.1630
1895.9001	246.0201
1432.3948	94.6396
1321.5904	482.4547
1330.1739	458.2650
543.6193	249.1414
618.5292	260.8461
560.0058	40.7980
548.3011	70.4499
172.9710	79.8137
63.7273	226.5123
69.9698	209.3455
41.8786	210.1258
428.9134	214.8076
1728.9134	842.9589
1433.9554	645.5399
1405.8641	644.7596
1433.9554	622.9109
1437.0766	597.9409
1501.0622	476.9925
1363.7273	457.4847
1491.6985	780.5339
1547.1006	729.0333
878.3732	767.2686
905.6841	781.3142
