Name	K17+ TUMOR
Color	-65536
Coordinates	146
25.3295	391.8145
4.8897	421.6881
66.2093	431.1219
123.3361	400.2000
130.1494	372.9469
61.4924	364.5613
168.9327	359.8444
173.1255	322.6334
217.6739	335.2118
238.6379	289.6151
246.4994	317.9165
282.1381	277.0368
286.3309	247.1631
317.2527	261.3138
346.6023	213.0967
205.0955	140.2469
201.4268	168.0241
89.7937	148.6325
397.4399	205.2352
428.3617	210.4762
466.6210	205.2352
515.8863	205.2352
571.9649	251.3559
591.8806	260.7897
617.5615	301.6694
598.1698	356.1757
675.7365	316.8683
662.6340	354.6034
649.0074	377.1397
609.1759	394.9590
588.2119	396.5313
566.7239	436.8870
538.4225	431.1219
526.8924	463.0919
230.2523	366.1336
275.8489	402.2964
276.3730	426.9291
292.6201	461.5196
250.6921	487.7246
250.6921	535.4176
280.0417	503.9717
280.0417	535.9417
264.3187	505.0199
220.8185	530.7007
374.3795	567.9117
397.9640	552.1888
517.4586	578.3937
525.8442	539.0863
557.8142	474.6221
537.8984	499.2548
269.5597	559.5262
278.4694	596.7372
281.0899	622.4180
293.6683	643.9061
314.6322	651.2435
319.3491	623.4662
346.0782	599.3577
532.6574	563.1949
536.8502	588.8757
543.6635	610.3638
552.5732	638.6651
520.6032	690.0268
562.5311	660.1532
540.5189	680.0689
608.6518	653.8640
643.7665	682.1653
636.4291	653.8640
649.0074	620.8457
678.8811	593.0685
689.8872	575.7732
562.0070	779.1237
585.0674	780.1719
721.8572	559.0021
762.2128	537.5140
794.7070	556.3816
812.0023	544.8514
824.5806	569.4840
839.2554	552.1888
869.6532	570.5322
899.5268	568.9599
906.3401	596.2131
935.1655	582.0624
965.0392	566.3394
958.2259	594.1167
986.0031	549.0442
1028.9793	521.2669
1056.7565	525.9838
1086.1061	522.8392
1075.6241	491.3933
1113.3592	461.5196
1113.8833	505.5440
1135.3714	469.9052
1169.9619	458.3750
1225.5164	446.8449
1257.4865	470.9534
1284.7396	466.2365
1315.1374	468.3329
1294.1734	503.9717
1312.5169	494.5379
1363.8786	501.3512
1331.3844	522.8392
1340.2941	547.9960
1324.5712	595.1649
1292.0770	626.6108
1287.3601	674.3039
1427.2946	572.1045
1411.0475	591.4962
1382.2221	553.7611
1401.0896	531.2248
1429.9151	543.2791
1422.0536	514.4536
1394.8004	495.0620
1413.6680	478.2908
1427.2946	461.5196
1433.0597	488.2487
1517.4396	500.8271
1428.8669	382.9048
1440.3971	400.2000
1421.5295	349.8865
707.1824	290.1392
736.0079	269.1753
769.5502	254.5005
797.8516	224.1027
835.0626	216.2413
858.6471	224.1027
965.5633	321.5852
951.9367	278.6091
1045.7504	186.8917
1068.2867	155.9699
1371.7401	292.2356
1009.0635	231.9642
1092.3953	123.9998
1497.5239	18.1318
227.2964	484.7726
252.9772	438.6519
270.2725	450.7062
423.8335	542.9476
1346.2479	569.6767
1308.5128	547.6645
1263.9644	502.5920
1433.7725	438.6519
1315.3261	683.9303
188.3934	79.9823
150.1582	53.4517
118.1654	55.7926
57.3010	87.0051
