Name	K17-
Color	-65536
Coordinates	59
77.8054	46.0023
52.8354	63.1691
556.9171	182.5569
564.7202	219.2316
547.5533	227.0347
528.0455	221.5725
502.2952	235.6181
464.8402	537.5989
673.1836	278.5353
651.3348	276.9747
80.1464	264.4897
41.1308	248.1031
6.7970	233.2772
54.3961	119.3516
184.7082	186.4584
1110.8204	94.1631
1145.1541	85.5797
1173.2454	48.9050
1189.6319	37.9807
1205.2382	27.0563
1285.6103	19.2532
1251.2766	54.3672
1246.5947	91.8222
1244.2538	140.2015
1314.4819	210.4296
1319.9441	229.1571
1355.0581	267.3924
1275.4663	192.4825
1430.7484	26.2760
1434.6499	69.9735
1394.8540	336.8402
1411.2406	144.8834
1527.5071	45.0035
1504.0977	55.9278
1507.9993	80.1175
1474.4459	76.2160
1457.2790	87.1403
1536.0905	14.5713
1419.8240	17.6925
184.8610	499.7613
1306.0210	1127.1423
1309.1656	1100.9373
1271.4304	1118.2326
1230.5507	1114.5639
1356.3345	1136.5760
1337.4669	1101.4614
523.9365	488.9654
522.8883	625.7553
1243.5245	658.2494
1254.0065	589.0684
1266.0608	588.0202
1243.5245	577.5382
1229.8979	527.2247
1185.8736	505.2125
1192.1628	524.0801
1521.2970	626.8035
1488.8029	613.7010
1264.4885	157.2107
1435.8689	43.4812
