Name	K17-
Color	-65536
Coordinates	365
127.9724	95.4971
131.0937	126.7096
170.1093	139.1946
201.3218	143.8765
228.6327	172.7480
258.2845	198.4983
244.2389	242.9761
241.1177	218.7865
238.7767	197.7180
223.1705	232.8321
201.3218	218.7865
190.3974	195.3771
187.2761	182.8921
174.0108	215.6652
190.3974	236.7336
215.3674	252.3399
235.6555	262.4839
267.6483	256.2414
283.2545	281.2114
280.1333	300.7192
312.1261	293.6964
296.5198	297.5980
184.1549	254.6808
184.9352	279.6508
201.3218	299.1586
214.5871	327.2498
189.6171	340.5151
183.3746	323.3483
169.3290	305.4011
189.6171	372.5079
70.2293	223.4683
61.6459	270.2871
65.5475	296.8177
56.1837	340.5151
84.2749	349.0986
84.2749	327.2498
124.0709	329.5908
153.7227	335.0530
120.1693	349.8789
138.1165	361.5836
120.1693	384.2126
99.1009	403.7204
80.3734	381.8717
142.0180	403.7204
144.3590	419.3267
133.4346	416.9857
173.2305	406.8417
174.0108	382.6520
269.9892	342.8561
311.3458	308.5223
333.9748	316.3255
338.6567	287.4539
342.5583	267.1658
358.9448	289.7949
380.0132	285.1130
390.9376	306.9617
409.6651	296.0374
425.2713	309.3027
365.9676	313.2042
351.1417	321.7877
340.2173	329.5908
326.1717	336.6136
321.4898	347.5380
365.1873	340.5151
374.5510	363.1442
388.5967	342.8561
408.1045	347.5380
408.1045	367.0458
383.1345	378.7504
438.5366	370.1670
419.8092	352.2198
469.7491	317.1058
463.5066	345.1970
442.4382	335.0530
459.6051	370.9473
511.1057	356.9017
526.7119	365.4851
564.9472	366.2654
547.7803	368.6064
535.2953	402.9401
510.3254	399.8189
525.9316	423.2282
506.4238	429.4707
474.4310	423.2282
493.9388	413.0842
456.4838	424.0085
438.5366	427.1298
411.2257	407.6220
411.2257	385.7732
392.4982	414.6448
380.0132	427.1298
375.3314	406.0614
424.4910	471.6076
421.3698	443.5163
441.6579	459.9029
449.4610	445.8573
474.4310	460.6832
490.8176	448.1982
450.2413	477.8501
466.6279	494.2366
486.1357	477.8501
503.3025	474.7288
528.2725	473.1682
559.4850	470.8273
581.3338	446.6376
600.0612	454.4407
615.6675	459.9029
639.8572	444.2967
613.3266	408.4023
596.9400	388.1142
592.2581	360.8033
620.3494	378.7504
604.7431	355.3411
584.4550	332.7120
612.5462	337.3939
632.8344	313.9845
632.0540	347.5380
639.8572	354.5608
641.4178	376.4095
639.0769	395.9173
678.0925	390.4551
693.6987	360.8033
683.5546	407.6220
610.9856	512.1838
615.6675	493.4563
600.8416	475.5091
586.0156	488.7744
563.3866	488.7744
549.3410	495.7973
531.3938	505.9413
511.1057	497.3579
490.0372	518.4263
525.1513	525.4491
522.0300	550.4191
494.7191	546.5175
501.7419	575.3891
504.8632	597.2378
517.3482	565.2450
536.0757	583.1922
558.7047	602.7000
563.3866	581.6316
535.2953	562.1238
565.7275	555.8813
574.3109	540.2750
565.7275	518.4263
547.7803	519.2066
585.2353	513.7444
590.6975	530.9113
593.8188	555.1010
618.7887	544.9569
618.7887	566.8057
598.5006	577.7300
596.9400	596.4575
618.0084	587.0938
607.8644	608.1622
628.9328	591.7756
649.2209	578.5103
663.2665	554.3207
658.5847	541.0554
660.9256	519.9869
683.5546	544.9569
703.8428	551.1994
726.4718	552.7600
745.9796	551.1994
709.3049	509.8429
664.8272	647.9581
655.4634	622.9881
636.7359	639.3747
624.2509	621.4275
637.5162	607.3819
652.3422	596.4575
660.1453	607.3819
674.9712	585.5331
691.3578	605.8213
720.2293	596.4575
736.6159	630.0109
753.0024	620.6472
769.3890	644.8369
800.6015	665.9053
821.6699	651.8597
863.8067	690.8753
888.7767	677.6100
889.5570	693.2162
908.2845	664.3447
910.6255	693.2162
912.1861	709.6028
927.0120	696.3375
944.9592	680.7312
977.7323	687.7540
987.0961	658.1022
973.0504	641.7156
959.0048	657.3219
955.1033	633.1322
927.7923	626.8897
927.0120	644.0566
899.7011	635.4731
889.5570	622.2078
892.6783	606.6016
867.7083	588.6544
831.0336	617.5259
807.6243	605.0410
787.3362	595.6772
792.0180	575.3891
777.1921	566.0253
664.0468	451.3195
651.5618	424.0085
659.3650	409.9629
674.9712	729.8909
699.9412	731.4515
691.3578	695.5572
709.3049	760.3231
680.4334	774.3687
710.0853	800.1190
731.1537	810.2630
703.8428	814.1646
704.6231	832.1118
730.3734	885.9533
768.6087	888.2942
786.5558	907.8020
777.9724	938.2342
800.6015	949.9389
811.5258	973.3483
834.1549	974.9089
833.3746	1006.1214
823.2305	1026.4095
851.3217	1024.8489
855.2233	1045.9173
885.6555	1035.7732
913.7467	1028.7504
909.0648	1046.6976
931.6939	1047.4779
956.6639	1059.1826
995.6795	1042.7960
998.8007	1016.2654
1012.0660	1049.8189
1043.2785	1056.8417
1058.8848	1060.7432
1067.4682	1083.3723
1082.2941	1048.2582
1058.8848	1027.1898
1048.7407	1008.4623
1035.4754	1021.7276
1089.3169	1023.2882
1112.7263	1034.2126
1138.4766	1036.5535
1161.1057	1029.5307
1166.5678	1015.4851
1157.9844	979.5908
1129.1129	958.5223
1094.7791	963.9845
1076.0516	988.9545
1061.2257	971.0073
1033.9148	978.8105
996.4598	971.0073
981.6339	988.1742
1005.8235	1000.6592
996.4598	946.0373
970.7095	930.4311
975.3914	906.2414
999.5810	914.0445
1001.9220	885.1730
973.0504	871.9077
995.6795	868.7864
1008.9448	856.3014
983.1945	853.1802
974.6111	837.5740
999.5810	839.9149
996.4598	817.2858
1001.9220	796.9977
1020.6495	827.4299
1025.3313	789.1946
1047.1801	781.3915
1037.0360	756.4215
1065.9076	755.6412
1072.9304	726.7696
1093.2185	735.3531
1085.4154	711.9437
1058.8848	715.0650
1042.4982	700.2390
1065.1273	683.0722
1115.0672	691.6556
1078.3926	654.9809
1065.9076	647.1778
992.5582	624.5488
1058.8848	591.7756
979.2929	585.5331
957.4442	601.9197
933.2545	599.5788
1133.7947	783.7324
1110.3854	757.2018
1116.6279	654.9809
1168.1285	640.1550
1101.8019	609.7228
1139.2569	931.9917
1121.3097	907.8020
1104.9232	883.6124
1101.8019	862.5439
1054.2029	842.2558
1088.5366	828.9905
1069.0288	839.9149
1079.9532	860.2030
1026.1117	949.9389
1096.3398	944.4767
394.6168	11.1493
378.2303	3.3462
431.2915	40.0209
479.6709	54.0665
450.0190	20.5131
602.1799	47.8240
1021.9878	64.9909
1057.8821	89.1805
1101.5796	109.4686
1051.6396	182.8180
993.1162	191.4014
998.5784	216.3714
1242.0358	265.5311
1314.6048	245.2430
1345.8173	233.5383
