Name	CD8
Color	-65536
Coordinates	39
1145.0520	696.2399
544.2116	890.5377
341.3305	519.1091
302.3149	578.4128
380.3461	680.6337
364.7399	1137.1163
610.1537	278.2170
483.7431	373.4151
411.9544	507.6287
408.0529	524.7956
354.2113	498.2650
402.5907	453.0069
356.5523	404.6275
234.0433	294.6035
134.1633	193.9433
1241.4262	694.9036
1289.0252	463.9313
604.6915	655.1077
144.3074	36.3202
170.0577	992.9829
1037.3334	1175.4014
1168.4259	950.6715
1143.4559	864.0569
1127.8497	733.7447
1286.2530	796.1697
1319.0261	787.5863
1584.3322	1034.1649
1266.7452	224.2009
1317.4655	285.8456
1801.2590	57.9944
1428.2698	419.2790
1401.7392	504.3330
1406.4211	470.7796
1140.3346	392.7483
1013.9241	127.4422
1663.3436	1075.1959
1675.3979	907.4842
1007.5617	656.7417
1174.5485	664.5449
