Name	K17-
Color	-65536
Coordinates	120
401.5729	938.6890
446.8310	928.5449
481.1647	919.9615
483.5057	903.5749
412.4973	863.7790
350.8526	844.2712
321.2008	802.1344
317.2992	781.8462
396.1107	628.1248
417.9595	615.6398
591.1887	1115.0395
581.0447	1051.8342
613.8178	1033.8871
583.3856	1026.0839
446.0507	961.3180
488.1875	852.8546
519.4000	820.8619
782.3652	1118.9411
777.6833	1065.0995
820.6005	899.6734
850.2524	914.4993
842.4492	889.5293
884.5861	891.0899
891.6089	914.4993
888.4877	944.9315
849.4721	940.2496
849.4721	972.2424
833.0855	989.4093
843.2296	1010.4777
826.0627	1011.2580
856.4949	1044.8114
884.5861	1029.2052
888.4877	1005.7958
903.3136	998.7730
929.8442	981.6061
954.0339	967.5605
982.9054	1001.8943
967.2992	1021.4021
1124.9222	1066.6602
1198.2716	1004.2352
1213.8778	1020.6218
1230.2644	1005.0155
1208.4156	976.9243
1259.1359	968.3408
1251.3328	955.0755
1238.0675	909.8174
1145.9907	914.4993
1003.1935	1034.6674
710.5765	688.9891
868.9799	532.1464
911.1167	536.0479
898.6317	546.9723
838.5477	511.0779
811.2368	586.7682
794.8502	546.1920
781.5849	546.1920
662.9775	574.2832
676.2428	556.3360
662.9775	521.2220
487.4072	572.7226
800.3124	1098.6530
790.9486	1079.9255
475.7026	452.5545
451.5129	456.4561
506.9150	460.3577
499.1119	521.2220
571.6809	427.5845
580.2644	385.4477
556.0747	385.4477
536.5669	404.9555
524.0819	436.9483
505.3544	401.0539
500.6725	429.1452
485.0663	397.9327
428.8838	442.4105
330.5645	399.4933
352.4132	379.2052
747.2512	287.9087
727.7434	297.2724
776.9030	347.2124
767.5393	378.4249
744.9102	360.4777
708.2356	325.3637
801.8730	301.9543
832.3052	131.0659
580.2644	99.0731
605.2344	85.0275
735.5465	92.0503
744.9102	62.3985
771.4408	49.9135
794.0699	29.6254
865.8586	124.8234
853.3736	104.5353
773.0015	11.6782
858.8358	37.4285
1057.8154	231.7262
1211.5369	228.6050
1232.6053	252.0143
1180.3244	134.1872
1162.3772	137.3084
1043.7698	24.1632
1033.6257	112.3385
767.8022	1106.0693
1145.6776	987.6229
1162.4488	1010.6832
1053.9603	1073.5751
680.2776	936.2612
708.0549	932.0684
693.3801	911.6285
582.7952	905.8634
807.6337	675.2598
1106.8943	761.2121
1191.2742	787.9411
319.7027	831.9559
318.9987	815.7634
62.4298	55.4108
34.3385	22.6377
922.9850	286.2662
1130.3436	240.4333
1080.0300	165.4871
