Name	K17+ TUMOR
Color	-65536
Coordinates	126
9.7452	97.3770
68.2686	110.6423
97.1401	84.1117
293.7788	298.6975
279.7332	293.2354
514.6071	96.5967
516.9480	126.2486
530.9937	77.0889
553.6227	80.2101
624.6311	13.8836
859.5051	63.0433
841.5579	23.2474
826.7320	9.9821
729.9733	106.7408
741.6779	130.9304
735.4354	143.4154
747.9204	158.2414
752.6023	172.2870
802.5423	182.4310
606.6839	379.8500
523.9709	464.9040
559.8652	464.9040
546.5999	492.9953
527.0921	571.0265
508.3646	542.1549
467.0081	517.1849
452.1821	503.1393
435.0153	500.0181
411.6059	508.6015
415.5075	411.8428
452.1821	410.2822
747.1401	506.2606
759.6251	478.9496
731.5339	494.5559
639.4571	471.9268
813.4667	510.1621
1017.1281	360.3422
1028.0525	417.3050
1132.6143	468.0253
1024.1509	134.0517
768.9889	90.3542
779.1329	81.7708
622.2902	69.2858
296.1197	120.0061
303.7074	923.0540
331.7986	909.0083
327.8971	723.2941
348.9655	769.3325
373.1552	762.3097
420.7542	706.1272
503.4673	695.2028
508.1492	596.8835
602.5669	596.8835
684.4997	601.5654
689.9619	646.0432
768.7734	719.3925
821.0543	738.1200
796.0843	752.1656
1129.2776	692.8619
1116.0123	795.8631
1141.7626	759.9687
1169.8538	798.9843
1085.5801	964.4105
1087.9211	929.2965
1130.0579	950.3649
1041.8826	969.0924
1018.4733	979.2364
1025.4961	1013.5702
823.3953	941.7815
791.4025	908.2280
734.4397	947.2436
588.5213	949.5846
548.7254	919.9327
522.9751	951.9255
476.1564	946.4633
615.0519	949.5846
297.4649	610.1488
453.5273	433.0180
1169.8538	723.2941
1194.8238	742.0216
1187.8010	888.7202
1117.5479	982.0091
510.0363	1192.2904
417.1791	1172.0023
813.5777	1059.6374
781.5849	1006.5761
466.3388	1019.0611
1031.2848	202.8547
1044.5501	184.1272
1296.5909	225.4837
1317.6593	193.4909
1302.0531	198.9531
1341.8490	141.2100
1320.7806	147.4525
1324.6821	108.4369
1221.6809	199.7334
1248.9919	173.9831
1260.6965	138.8691
1265.3784	65.5197
1263.0375	83.4669
1227.9234	69.4213
1241.1887	46.7922
1212.3172	32.7466
1181.8850	41.3301
1178.7638	29.6254
1126.4829	22.6026
1151.4528	175.5437
1207.6353	285.5677
1150.6725	256.6962
1177.9835	184.9075
1057.8154	161.4981
1064.8382	140.4297
1106.9750	118.5810
1042.9895	95.1716
1054.6941	60.0575
812.3506	687.8382
808.1578	655.8682
798.7240	640.1452
808.6819	621.2776
742.6454	707.7540
671.3679	657.4405
586.9880	638.5729
568.6445	657.9646
591.1808	618.6571
536.6745	523.7952
560.7830	552.0965
