Name	CD3
Color	-65536
Coordinates	62
23.7067	16.2996
15.9624	40.2365
258.8512	62.0613
228.5781	76.8458
173.3121	244.7559
266.2435	24.3959
411.2728	179.9856
521.1008	155.6967
542.9256	145.1363
60.2228	338.4436
39.7830	342.6363
18.8190	370.4136
1252.7161	374.0264
1257.4329	338.3876
1358.0600	371.4059
1360.6805	251.9113
1277.3487	111.9768
1238.5654	141.8505
1004.8172	270.2547
1903.5928	507.0758
1776.4020	521.1214
1711.6361	533.6064
1644.5292	407.9761
1491.5880	335.4071
1603.1727	145.0109
1595.4862	333.3950
1827.2416	351.0655
1856.8107	304.2478
1829.7057	258.4862
1629.1675	1178.5542
1464.5216	1002.9840
1299.8758	815.7091
1651.0162	700.2229
1899.1555	1135.6371
1860.1399	1060.7271
1558.1591	1113.7883
912.8410	1118.4702
1585.2368	927.8201
1657.0255	761.6136
1841.9595	575.1191
1796.7014	1101.8297
1648.4421	1080.7613
1680.4349	863.0542
15.8414	822.5516
101.0285	846.8405
1635.2544	1136.2240
1350.4404	959.8734
1356.6829	977.0403
860.1891	277.5693
1088.0670	333.2023
145.3234	651.3187
160.9297	587.3331
27.4963	605.2803
1892.4110	389.2383
257.2019	234.9296
207.2619	241.1721
205.7013	382.4085
538.1143	213.0808
612.2439	449.5154
755.0410	254.4374
68.3664	199.8155
123.7685	188.8911
