Name	K17-
Color	-65536
Coordinates	235
1167.1785	1137.9703
1202.2926	1129.3868
1224.1413	1098.9546
1248.3310	1084.1287
1263.9373	1066.1815
1270.9601	1030.2872
1302.9529	1022.4841
1306.0741	1004.5369
1298.2710	1138.7506
1337.2866	1065.4012
1360.6960	1042.7722
1408.2950	1020.1431
1403.6131	1001.4156
1419.2194	973.3244
1443.4090	981.1275
1460.5759	1009.2188
1484.7656	1013.1203
1484.7656	1042.7722
1484.7656	1068.5225
1487.1065	1079.4468
1469.9396	1101.2956
1493.3490	1119.2428
1513.6371	1137.9703
1556.5543	1123.9246
1529.2434	1123.1443
1578.4030	1097.3940
1583.8652	1060.7194
1569.8196	1025.6053
1565.9180	1005.3172
1500.3718	995.1731
1501.9324	965.5213
1464.4775	960.8394
1427.8028	944.4528
1473.0609	920.2632
1490.2278	905.4372
1505.0537	920.2632
1422.3406	878.1263
1444.1893	865.6413
1471.5003	859.3988
1473.0609	835.2092
1497.2506	828.9667
1525.3418	828.1863
1540.1677	816.4817
1522.2206	844.5729
1537.8268	853.9366
1563.5771	846.1335
1563.5771	821.9438
1562.0165	803.2164
1603.3730	809.4589
1626.0021	799.3148
1639.2674	829.7470
1612.7368	843.7926
1626.7824	862.5201
1590.1077	861.7398
1624.4414	768.8826
1648.6311	747.8142
1621.3202	736.8898
1624.4414	711.9198
1654.0933	718.1623
1653.3130	679.1467
1623.6611	686.1695
1657.2146	610.4793
1675.1617	599.5549
1657.2146	583.9487
1321.6803	942.8922
1302.9529	924.9450
1331.0441	911.6797
1348.2110	911.6797
1302.9529	890.6113
1297.4907	865.6413
1276.4222	880.4673
1272.5207	901.5357
1263.1569	926.5057
1245.2098	895.2932
1237.4066	869.5429
1265.4979	867.2020
1210.0957	845.3532
1194.4895	833.6485
1234.2854	830.5273
1197.6107	806.3376
1238.1870	801.6557
1193.7092	776.6857
1191.3682	744.6929
1219.4595	771.2236
1189.0273	715.0411
1207.7548	704.1167
1238.1870	705.6773
1210.8760	669.0027
1233.5051	661.1996
1252.2326	638.5705
1269.3994	654.1767
1292.0285	643.2524
1330.2638	664.3208
1364.5975	669.7830
1377.8628	684.6089
1352.8928	699.4348
1322.4607	636.2296
1344.3094	626.8658
1342.7488	606.5777
1352.1125	577.7062
1377.0825	554.2968
1371.6203	534.7890
1381.7644	514.5009
1393.4691	478.6065
1416.0981	450.5153
1458.2350	427.8862
1473.8412	439.5909
1488.6671	409.9391
1506.6143	447.3940
1526.1221	486.4096
1559.6755	481.7278
1572.9408	477.0459
1602.5927	488.7506
1702.4727	449.7350
1643.9492	507.4781
1667.3586	507.4781
1665.0177	524.6449
1687.6467	516.8418
1182.0045	544.1527
1135.9661	545.7134
1105.5339	546.4937
1150.7920	462.2200
1128.1629	472.3640
1113.3370	450.5153
1128.1629	431.7878
1046.2302	537.9102
1220.2398	334.2488
1261.5963	335.0291
1288.1269	310.8394
1314.6575	313.1804
1327.9228	285.8694
1333.3850	254.6569
1337.2866	232.0279
1316.2182	231.2476
1324.0213	202.3760
1300.6119	188.3304
1264.7176	118.8826
1253.7932	98.5945
1238.1870	72.8442
1231.9445	67.3820
1182.7848	93.1323
1178.1029	109.5189
1187.4667	274.9451
1217.8988	314.7410
1207.7548	299.1347
1193.7092	315.5213
1185.1257	234.3688
1155.4739	231.2476
1128.1629	246.8538
1100.8520	232.8082
1120.3598	143.0723
1095.3898	169.6029
1068.0789	163.3604
1058.7152	184.4289
1034.5255	166.4817
1024.3814	197.6942
1036.0861	249.9751
1054.0333	267.9222
1086.8064	310.0591
1043.1089	314.7410
1060.2758	363.1203
1042.3286	351.4156
1023.6011	285.8694
989.2674	256.2176
961.9565	254.6569
969.7596	291.3316
939.3274	296.0135
931.5243	268.7026
883.1449	15.1011
853.4931	27.5861
830.0837	36.1696
784.0453	35.3892
754.3934	26.0255
562.4367	32.2680
549.1714	18.2224
503.1329	93.9126
482.0645	114.2008
574.1413	104.8370
551.5123	85.3292
608.4751	107.9583
899.5315	277.2860
880.8040	277.2860
897.1906	305.3772
881.5843	327.2260
887.0465	389.6509
827.7428	340.4913
853.4931	349.0747
845.6900	361.5597
768.4391	332.6882
797.3106	357.6581
744.2494	342.0519
705.2338	331.1275
681.8244	349.8550
851.1521	459.8790
844.1293	431.7878
593.6491	359.2188
553.0729	359.2188
498.4511	370.9234
471.9205	386.5297
454.7536	381.0675
397.7908	382.6281
326.0021	400.5753
772.3406	583.1683
776.2422	686.9499
759.0753	670.5633
735.6660	688.5105
742.6888	575.3652
844.9096	634.6689
858.9553	392.7722
727.0825	260.1191
278.4031	707.2380
248.7512	714.2608
136.3863	674.4649
368.9193	774.3448
394.6696	779.8070
387.6468	751.7158
421.9805	772.0039
489.8676	755.6173
613.9373	744.6929
666.9985	737.6701
708.3550	730.6473
730.2038	757.1779
326.7824	811.0195
178.5231	693.1923
122.3406	704.1167
158.2350	479.3868
112.1966	1173.8646
140.2878	1098.9546
111.4163	1117.6821
280.6000	384.9175
260.4559	409.1587
8.7439	582.4198
369.6996	394.3328
241.7284	440.3712
56.7944	591.7518
