Name	CD3
Color	-65536
Coordinates	34
65.7962	1160.2709
246.0862	1126.2044
343.5687	1098.4272
478.2621	1116.7706
481.4067	1104.7164
270.7189	1181.2348
1595.9088	1172.2127
1628.9270	1138.6703
1624.7342	1120.3269
1256.2926	1180.0742
1213.8406	1183.7429
1188.6838	1181.1224
1287.7385	933.2235
1047.7012	771.2769
1193.4007	520.2334
1221.7020	517.6129
1324.4255	597.2760
1681.3369	826.8314
1360.0642	787.5239
1083.8640	477.2573
796.6577	776.5179
85.0865	346.7566
65.6949	371.3893
55.2129	356.1904
352.9012	136.5929
343.9915	151.7918
483.9259	403.8834
221.5324	574.2156
216.2914	562.1613
228.3457	551.6794
493.0157	766.0359
1292.8879	568.9002
1758.9133	97.2894
1637.3223	53.7892
