Name	K17+ TUMOR
Color	-65536
Coordinates	28
751.1987	1162.9656
1050.8385	658.1036
1072.6873	681.5130
1056.4256	362.6150
1104.8049	389.9260
1164.1087	364.1757
1193.7605	386.8047
1306.9058	254.9320
1299.1026	236.2045
1275.6933	215.9164
1256.1855	202.6511
1242.1399	194.8479
1222.6321	175.3401
1182.8361	195.6283
1207.0258	204.2117
1110.2671	248.6895
1082.9562	266.6367
1153.9646	278.3413
1209.3668	311.1144
1536.3175	423.4794
1564.4088	525.7003
1065.7893	378.2213
1146.1615	406.3125
362.7134	44.8795
322.8818	65.8435
189.2366	288.5856
363.2375	19.7228
293.0082	5.5721
