Name	K17+ TUMOR
Color	-65536
Coordinates	162
408.4945	152.7387
401.1022	143.2343
395.8220	128.0978
405.6784	112.6092
428.5592	100.6408
450.0320	92.8965
478.1930	84.0962
498.2577	81.9841
529.2349	70.3677
550.7076	64.0314
563.7321	58.3992
587.6690	42.5587
613.7180	37.6305
654.1994	26.7181
695.0329	37.6305
733.4023	64.0314
739.3865	79.5200
730.2342	98.1767
711.5775	109.7931
701.3691	110.4971
689.4007	116.8334
674.6161	116.1293
663.7037	122.1136
639.7668	112.2572
635.8947	131.2659
611.2538	124.9297
585.5569	127.0417
565.4922	131.9699
536.6271	131.9699
499.3138	137.6021
479.6010	143.2343
458.4803	137.9541
436.6555	140.7702
426.0951	143.5863
513.6237	556.8356
566.0336	539.0162
572.3228	528.5342
589.6180	530.1065
602.1964	518.0522
599.0518	505.4738
618.4435	496.5641
699.1547	439.4373
541.9250	428.9554
553.9793	404.8468
585.9493	492.3714
570.7505	483.9858
552.4070	500.7570
524.1057	507.5703
534.5876	519.1004
513.0995	527.4860
499.4730	516.4799
503.6658	537.4439
485.8464	533.2511
482.7018	524.3414
467.5030	534.8234
448.1113	541.1126
438.1534	556.3115
439.2016	569.9380
429.7678	566.2693
410.9003	569.9380
385.2194	389.1238
404.0870	377.0696
417.7135	366.0635
425.5750	355.5815
434.4847	369.2081
448.1113	354.5333
466.4548	343.0031
472.7440	361.8707
486.3705	376.5455
477.4608	395.9371
459.1174	413.7565
397.2737	498.6606
421.9063	475.0761
321.2793	434.7205
308.7009	455.6844
134.7000	540.5885
151.4712	552.6428
167.7183	565.7452
187.6340	565.2211
208.0739	576.7513
222.7487	578.3236
270.9658	581.9923
309.7491	558.9319
321.2793	553.1669
335.9541	532.2029
356.3940	514.9077
375.2615	512.8112
457.0210	431.5759
213.3149	420.0457
178.2003	442.5820
218.5559	350.8646
229.0379	337.2380
247.9054	323.0874
272.0140	315.7500
302.9359	311.0331
319.7070	314.1777
337.0023	311.5572
351.6771	322.5633
346.4361	337.7621
327.5685	349.2923
312.8937	356.6297
278.3032	371.3045
250.5259	382.8347
1390.9663	949.3904
1406.6893	926.8541
1379.4362	971.4026
1648.9869	1158.5374
1624.3542	1154.3446
1603.9144	1138.0975
1580.8541	1133.3806
1589.7638	1107.1757
1592.3843	1065.2477
1574.0408	1057.9103
1553.6010	1002.8799
1541.5466	982.9642
1532.6370	971.9581
1521.6309	945.2290
1538.9261	921.1205
1561.4624	910.1144
1591.3361	896.4878
1622.2579	892.8191
1647.9387	860.8491
1687.7703	842.5056
1715.0234	831.4995
1777.3912	823.6380
1803.0720	829.9272
1820.8915	851.4153
1839.7590	862.9454
1846.5723	884.4335
1870.6809	894.3914
1891.6448	959.3797
1880.6388	1002.3558
1853.9097	1033.8018
1826.6565	1051.0970
1800.9757	1043.7596
1800.4515	1064.7236
1770.0538	1072.5851
1753.8068	1069.4406
1744.3729	1088.3081
1734.4152	1115.0371
1709.2583	1127.6155
1705.0656	1143.3385
1797.8311	1144.9108
869.7038	399.7004
856.6013	372.4472
874.9448	368.7786
857.1254	354.6279
843.4988	338.9049
829.3481	332.6157
794.7576	343.0977
775.3660	353.5797
779.0347	395.5076
759.6430	393.9353
605.0338	480.4117
1882.0906	977.0038
1222.2499	1141.5709
25.7317	641.0563
82.8585	671.4541
226.9857	617.4719
871.8548	43.1290
1029.0845	389.0344
1026.4640	376.4560
