Name	K17-
Color	-65536
Coordinates	58
1371.8989	990.5228
1357.2242	1014.6313
1354.0796	1005.1976
1338.8807	1035.0713
1315.2963	1019.3483
1313.7240	1038.2158
1293.2841	1025.6375
1282.8021	997.3361
1269.1755	981.6132
1284.8986	963.2697
1305.3384	927.6309
1326.3024	925.0104
1339.4048	908.7634
1360.3688	895.6609
1399.1521	891.4681
1884.4679	912.9562
797.3781	627.1594
814.1493	604.0991
788.4684	590.9966
834.5892	578.4182
837.7338	556.4060
860.2700	557.9783
858.1736	537.0143
842.4506	519.7191
828.3000	535.9662
722.4319	472.5502
718.7632	447.3934
741.8236	430.6223
749.6851	421.1885
729.2452	412.2788
749.1610	405.4655
803.1432	315.3205
444.6595	446.8693
486.0633	408.0860
275.3754	477.7912
233.4475	506.6166
215.6281	523.3878
193.0919	507.6648
157.9772	519.7191
158.5013	449.4898
129.6759	435.8633
140.6820	413.3270
208.8149	362.4894
195.1883	372.9713
171.6038	390.7907
178.4171	521.2914
293.7189	576.3218
477.6777	569.5085
864.9869	577.3700
855.5531	598.8580
826.7277	622.9666
1719.2250	548.3632
1716.0803	504.8629
1752.2432	571.9476
687.3610	747.9314
740.8028	735.1519
1099.7924	853.6533
1157.8812	785.1083
