Name	K17-
Color	-65536
Coordinates	132
294.6994	105.1536
333.7150	66.9183
206.5241	26.3421
376.6322	180.0636
311.0859	247.1704
952.5025	448.4909
1624.5433	129.1176
1761.8782	72.9351
1740.0295	118.1932
1856.2960	142.3829
1810.2576	268.0131
1761.0979	303.9075
1732.2264	285.1800
1713.4989	336.6806
1665.8999	420.1740
1503.5949	379.5978
1225.0235	438.9015
1285.1075	361.6506
1654.1952	566.8727
1632.3464	550.4861
1648.7330	523.1752
1752.5145	548.9255
1739.2492	165.0119
1643.2708	54.9879
1669.0211	9.7298
1143.0907	382.7190
1801.6742	674.5558
1796.9923	702.6470
1843.8110	719.8139
1804.7954	747.1248
1830.5457	777.5570
1840.6898	807.9891
1818.8410	818.1332
1892.9707	795.5041
1883.6069	818.1332
1901.5541	854.8079
1764.9995	1060.8103
1786.0679	1042.8631
1715.0595	1037.4009
1703.3548	1022.5750
1697.1123	1061.5906
1767.3404	1092.0227
1759.5373	1123.2352
1478.6249	960.1500
1457.5565	937.5209
1432.5865	914.1116
1413.8590	871.9747
1448.9731	878.2172
1447.4125	841.5425
1448.9731	809.5498
1467.7006	843.8835
1484.0871	804.0876
1403.7150	840.7622
1233.6069	1045.9843
1206.2960	1063.9315
1178.9851	1032.7190
1136.8482	1051.4465
1078.3248	1114.6518
1114.9995	1102.9471
1138.4089	1119.3337
974.5433	892.2628
1020.5817	904.7478
1104.8554	856.3685
1081.4461	657.3889
864.5193	948.4453
940.9899	957.0287
924.6033	896.1644
956.5961	633.1992
954.2552	477.1368
593.7510	656.6086
582.0463	621.4945
553.1748	717.4729
534.4473	693.2832
632.7666	1035.0600
590.6298	1064.7118
445.4917	989.8019
687.3885	1081.8787
690.5097	1017.1128
669.4413	980.4381
710.7978	964.0516
676.4641	914.8919
1003.4149	967.9531
1433.3668	665.9723
687.3885	545.8043
618.7210	511.4705
97.4725	918.0131
134.1472	948.4453
287.0884	1081.8787
8.5169	754.9279
9.2972	718.2532
575.8038	1169.2736
547.7126	1127.9171
486.8483	1119.3337
609.3573	1192.6830
674.9035	1168.4933
646.0319	1150.5461
675.6838	1109.9699
1025.2636	1180.9783
986.2480	1188.0011
322.2024	740.8823
398.6730	710.4501
391.6502	680.7983
69.3813	676.8967
1573.8230	1176.2964
1580.0655	1158.3493
1578.5049	1124.7958
1627.6646	719.0335
1590.9899	595.7442
1857.8566	90.8823
1811.8182	83.8595
1834.4473	216.5125
1905.4557	179.0576
930.0655	127.5570
956.5961	157.9891
919.1412	181.3985
887.9287	169.6938
1057.2564	297.6650
621.0619	602.7670
905.0955	712.7911
789.6094	676.8967
787.2684	699.5257
768.5409	674.5558
77.9647	543.4633
62.3585	559.0696
48.3128	596.5245
273.0427	648.0251
784.1472	896.9447
766.2000	953.9075
781.0259	970.2940
869.9815	997.6050
446.1724	174.1507
1321.2606	751.1596
